line_number,timestamp,hostname,service,event_type,severity,source_ip,username,raw
187,Jun 20 09:20:08,combo,sshd(pam_unix),Auth Failure,HIGH,65.166.159.14,,Jun 20 09:20:08 combo sshd(pam_unix)[10053]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
188,Jun 21 04:06:57,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 21 04:06:57 combo su(pam_unix)[12098]: session opened for user cyrus by (uid=0)
189,Jun 21 04:06:58,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 21 04:06:58 combo su(pam_unix)[12098]: session closed for user cyrus
191,Jun 21 04:13:03,combo,su(pam_unix),Session Opened,INFO,,news,Jun 21 04:13:03 combo su(pam_unix)[13327]: session opened for user news by (uid=0)
192,Jun 21 04:13:04,combo,su(pam_unix),Session Closed,INFO,,news,Jun 21 04:13:04 combo su(pam_unix)[13327]: session closed for user news
193,Jun 21 08:56:36,combo,sshd(pam_unix),Auth Failure,HIGH,217.60.212.66,guest,Jun 21 08:56:36 combo sshd(pam_unix)[14281]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest
194,Jun 21 08:56:36,combo,sshd(pam_unix),Auth Failure,HIGH,217.60.212.66,guest,Jun 21 08:56:36 combo sshd(pam_unix)[14279]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest
195,Jun 21 08:56:36,combo,sshd(pam_unix),Auth Failure,HIGH,217.60.212.66,guest,Jun 21 08:56:36 combo sshd(pam_unix)[14282]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest
196,Jun 21 08:56:36,combo,sshd(pam_unix),Auth Failure,HIGH,217.60.212.66,guest,Jun 21 08:56:36 combo sshd(pam_unix)[14277]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest
197,Jun 21 08:56:36,combo,sshd(pam_unix),Auth Failure,HIGH,217.60.212.66,guest,Jun 21 08:56:36 combo sshd(pam_unix)[14278]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest
198,Jun 21 08:56:36,combo,sshd(pam_unix),Auth Failure,HIGH,217.60.212.66,guest,Jun 21 08:56:36 combo sshd(pam_unix)[14280]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest
199,Jun 22 03:17:26,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:26 combo sshd(pam_unix)[16207]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
200,Jun 22 03:17:26,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:26 combo sshd(pam_unix)[16206]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
201,Jun 22 03:17:35,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:35 combo sshd(pam_unix)[16210]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
202,Jun 22 03:17:36,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:36 combo sshd(pam_unix)[16212]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
203,Jun 22 03:17:36,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:36 combo sshd(pam_unix)[16213]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
204,Jun 22 03:17:45,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:45 combo sshd(pam_unix)[16216]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
205,Jun 22 03:17:46,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:46 combo sshd(pam_unix)[16218]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
206,Jun 22 03:17:46,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:46 combo sshd(pam_unix)[16219]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
207,Jun 22 03:17:52,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:52 combo sshd(pam_unix)[16222]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
208,Jun 22 03:17:55,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:55 combo sshd(pam_unix)[16224]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
209,Jun 22 03:17:56,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:56 combo sshd(pam_unix)[16226]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
210,Jun 22 03:17:56,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:17:56 combo sshd(pam_unix)[16227]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
211,Jun 22 03:18:02,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:02 combo sshd(pam_unix)[16230]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
212,Jun 22 03:18:05,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:05 combo sshd(pam_unix)[16232]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
213,Jun 22 03:18:06,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:06 combo sshd(pam_unix)[16234]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
214,Jun 22 03:18:06,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:06 combo sshd(pam_unix)[16235]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
215,Jun 22 03:18:10,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:10 combo sshd(pam_unix)[16238]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
216,Jun 22 03:18:12,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:12 combo sshd(pam_unix)[16240]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
217,Jun 22 03:18:15,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:15 combo sshd(pam_unix)[16242]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
218,Jun 22 03:18:16,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:16 combo sshd(pam_unix)[16244]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
219,Jun 22 03:18:16,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:16 combo sshd(pam_unix)[16245]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
220,Jun 22 03:18:20,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:20 combo sshd(pam_unix)[16248]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
221,Jun 22 03:18:22,combo,sshd(pam_unix),Auth Failure,HIGH,n219076184117.netvigator.com,root,Jun 22 03:18:22 combo sshd(pam_unix)[16250]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root
222,Jun 22 04:05:58,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 22 04:05:58 combo su(pam_unix)[16663]: session opened for user cyrus by (uid=0)
223,Jun 22 04:05:59,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 22 04:05:59 combo su(pam_unix)[16663]: session closed for user cyrus
225,Jun 22 04:11:42,combo,su(pam_unix),Session Opened,INFO,,news,Jun 22 04:11:42 combo su(pam_unix)[17037]: session opened for user news by (uid=0)
226,Jun 22 04:11:42,combo,su(pam_unix),Session Closed,INFO,,news,Jun 22 04:11:42 combo su(pam_unix)[17037]: session closed for user news
227,Jun 22 04:30:55,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 22 04:30:55 combo sshd(pam_unix)[17129]: check pass; user unknown
228,Jun 22 04:30:55,combo,sshd(pam_unix),Auth Failure,HIGH,ip-216-69-169-168.ip.secureserver.net,,Jun 22 04:30:55 combo sshd(pam_unix)[17129]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
229,Jun 22 04:30:55,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 22 04:30:55 combo sshd(pam_unix)[17125]: check pass; user unknown
230,Jun 22 04:30:55,combo,sshd(pam_unix),Auth Failure,HIGH,ip-216-69-169-168.ip.secureserver.net,,Jun 22 04:30:55 combo sshd(pam_unix)[17125]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
231,Jun 22 04:30:55,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 22 04:30:55 combo sshd(pam_unix)[17124]: check pass; user unknown
232,Jun 22 04:30:55,combo,sshd(pam_unix),Auth Failure,HIGH,ip-216-69-169-168.ip.secureserver.net,,Jun 22 04:30:55 combo sshd(pam_unix)[17124]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
233,Jun 22 04:30:55,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 22 04:30:55 combo sshd(pam_unix)[17123]: check pass; user unknown
234,Jun 22 04:30:55,combo,sshd(pam_unix),Auth Failure,HIGH,ip-216-69-169-168.ip.secureserver.net,,Jun 22 04:30:55 combo sshd(pam_unix)[17123]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
235,Jun 22 04:30:55,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 22 04:30:55 combo sshd(pam_unix)[17132]: check pass; user unknown
236,Jun 22 04:30:55,combo,sshd(pam_unix),Auth Failure,HIGH,ip-216-69-169-168.ip.secureserver.net,,Jun 22 04:30:55 combo sshd(pam_unix)[17132]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
237,Jun 22 04:30:55,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 22 04:30:55 combo sshd(pam_unix)[17131]: check pass; user unknown
238,Jun 22 04:30:55,combo,sshd(pam_unix),Auth Failure,HIGH,ip-216-69-169-168.ip.secureserver.net,,Jun 22 04:30:55 combo sshd(pam_unix)[17131]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
239,Jun 22 04:30:55,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 22 04:30:55 combo sshd(pam_unix)[17135]: check pass; user unknown
240,Jun 22 04:30:55,combo,sshd(pam_unix),Auth Failure,HIGH,ip-216-69-169-168.ip.secureserver.net,,Jun 22 04:30:55 combo sshd(pam_unix)[17135]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
241,Jun 22 04:30:55,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 22 04:30:55 combo sshd(pam_unix)[17137]: check pass; user unknown
242,Jun 22 04:30:55,combo,sshd(pam_unix),Auth Failure,HIGH,ip-216-69-169-168.ip.secureserver.net,,Jun 22 04:30:55 combo sshd(pam_unix)[17137]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
243,Jun 22 04:30:56,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 22 04:30:56 combo sshd(pam_unix)[17139]: check pass; user unknown
244,Jun 22 04:30:56,combo,sshd(pam_unix),Auth Failure,HIGH,ip-216-69-169-168.ip.secureserver.net,,Jun 22 04:30:56 combo sshd(pam_unix)[17139]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
245,Jun 22 04:30:56,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 22 04:30:56 combo sshd(pam_unix)[17140]: check pass; user unknown
246,Jun 22 04:30:56,combo,sshd(pam_unix),Auth Failure,HIGH,ip-216-69-169-168.ip.secureserver.net,,Jun 22 04:30:56 combo sshd(pam_unix)[17140]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net
270,Jun 23 01:41:29,combo,sshd(pam_unix),Auth Failure,HIGH,209.152.168.249,guest,Jun 23 01:41:29 combo sshd(pam_unix)[18969]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
271,Jun 23 01:41:29,combo,sshd(pam_unix),Auth Failure,HIGH,209.152.168.249,guest,Jun 23 01:41:29 combo sshd(pam_unix)[18971]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
272,Jun 23 01:41:29,combo,sshd(pam_unix),Auth Failure,HIGH,209.152.168.249,guest,Jun 23 01:41:29 combo sshd(pam_unix)[18973]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
273,Jun 23 01:41:29,combo,sshd(pam_unix),Auth Failure,HIGH,209.152.168.249,guest,Jun 23 01:41:29 combo sshd(pam_unix)[18975]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
274,Jun 23 01:41:29,combo,sshd(pam_unix),Auth Failure,HIGH,209.152.168.249,guest,Jun 23 01:41:29 combo sshd(pam_unix)[18977]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
275,Jun 23 01:41:30,combo,sshd(pam_unix),Auth Failure,HIGH,209.152.168.249,guest,Jun 23 01:41:30 combo sshd(pam_unix)[18983]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
276,Jun 23 01:41:30,combo,sshd(pam_unix),Auth Failure,HIGH,209.152.168.249,guest,Jun 23 01:41:30 combo sshd(pam_unix)[18982]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
277,Jun 23 01:41:30,combo,sshd(pam_unix),Auth Failure,HIGH,209.152.168.249,guest,Jun 23 01:41:30 combo sshd(pam_unix)[18981]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
278,Jun 23 01:41:30,combo,sshd(pam_unix),Auth Failure,HIGH,209.152.168.249,guest,Jun 23 01:41:30 combo sshd(pam_unix)[18976]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
279,Jun 23 01:41:32,combo,sshd(pam_unix),Auth Failure,HIGH,209.152.168.249,guest,Jun 23 01:41:32 combo sshd(pam_unix)[18967]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest
280,Jun 23 02:55:14,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 23 02:55:14 combo sshd(pam_unix)[19085]: check pass; user unknown
281,Jun 23 02:55:14,combo,sshd(pam_unix),Auth Failure,HIGH,200.60.37.201,,Jun 23 02:55:14 combo sshd(pam_unix)[19085]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=200.60.37.201
282,Jun 23 04:05:28,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 23 04:05:28 combo su(pam_unix)[19534]: session opened for user cyrus by (uid=0)
283,Jun 23 04:05:29,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 23 04:05:29 combo su(pam_unix)[19534]: session closed for user cyrus
285,Jun 23 04:13:08,combo,su(pam_unix),Session Opened,INFO,,news,Jun 23 04:13:08 combo su(pam_unix)[24180]: session opened for user news by (uid=0)
286,Jun 23 04:13:09,combo,su(pam_unix),Session Closed,INFO,,news,Jun 23 04:13:09 combo su(pam_unix)[24180]: session closed for user news
287,Jun 23 23:30:03,combo,sshd(pam_unix),Auth Failure,HIGH,218.22.3.51,root,Jun 23 23:30:03 combo sshd(pam_unix)[26189]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
288,Jun 23 23:30:03,combo,sshd(pam_unix),Auth Failure,HIGH,218.22.3.51,root,Jun 23 23:30:03 combo sshd(pam_unix)[26188]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
289,Jun 23 23:30:04,combo,sshd(pam_unix),Auth Failure,HIGH,218.22.3.51,root,Jun 23 23:30:04 combo sshd(pam_unix)[26193]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
290,Jun 23 23:30:04,combo,sshd(pam_unix),Auth Failure,HIGH,218.22.3.51,root,Jun 23 23:30:04 combo sshd(pam_unix)[26182]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
291,Jun 23 23:30:04,combo,sshd(pam_unix),Auth Failure,HIGH,218.22.3.51,root,Jun 23 23:30:04 combo sshd(pam_unix)[26183]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
292,Jun 23 23:30:04,combo,sshd(pam_unix),Auth Failure,HIGH,218.22.3.51,root,Jun 23 23:30:04 combo sshd(pam_unix)[26184]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
293,Jun 23 23:30:05,combo,sshd(pam_unix),Auth Failure,HIGH,218.22.3.51,root,Jun 23 23:30:05 combo sshd(pam_unix)[26197]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
294,Jun 23 23:30:05,combo,sshd(pam_unix),Auth Failure,HIGH,218.22.3.51,root,Jun 23 23:30:05 combo sshd(pam_unix)[26198]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
295,Jun 23 23:30:05,combo,sshd(pam_unix),Auth Failure,HIGH,218.22.3.51,root,Jun 23 23:30:05 combo sshd(pam_unix)[26190]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root
296,Jun 24 04:05:34,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 24 04:05:34 combo su(pam_unix)[26938]: session opened for user cyrus by (uid=0)
297,Jun 24 04:05:35,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 24 04:05:35 combo su(pam_unix)[26938]: session closed for user cyrus
299,Jun 24 04:11:12,combo,su(pam_unix),Session Opened,INFO,,news,Jun 24 04:11:12 combo su(pam_unix)[27311]: session opened for user news by (uid=0)
300,Jun 24 04:11:12,combo,su(pam_unix),Session Closed,INFO,,news,Jun 24 04:11:12 combo su(pam_unix)[27311]: session closed for user news
314,Jun 25 04:04:25,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 25 04:04:25 combo su(pam_unix)[29690]: session opened for user cyrus by (uid=0)
315,Jun 25 04:04:25,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 25 04:04:25 combo su(pam_unix)[29690]: session closed for user cyrus
317,Jun 25 04:10:34,combo,su(pam_unix),Session Opened,INFO,,news,Jun 25 04:10:34 combo su(pam_unix)[30934]: session opened for user news by (uid=0)
318,Jun 25 04:10:35,combo,su(pam_unix),Session Closed,INFO,,news,Jun 25 04:10:35 combo su(pam_unix)[30934]: session closed for user news
319,Jun 25 04:41:49,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 25 04:41:49 combo sshd(pam_unix)[31031]: check pass; user unknown
320,Jun 25 04:41:49,combo,sshd(pam_unix),Auth Failure,HIGH,massive.merukuru.org,,Jun 25 04:41:49 combo sshd(pam_unix)[31031]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
321,Jun 25 04:41:49,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 25 04:41:49 combo sshd(pam_unix)[31035]: check pass; user unknown
322,Jun 25 04:41:49,combo,sshd(pam_unix),Auth Failure,HIGH,massive.merukuru.org,,Jun 25 04:41:49 combo sshd(pam_unix)[31035]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
323,Jun 25 04:41:49,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 25 04:41:49 combo sshd(pam_unix)[31034]: check pass; user unknown
324,Jun 25 04:41:49,combo,sshd(pam_unix),Auth Failure,HIGH,massive.merukuru.org,,Jun 25 04:41:49 combo sshd(pam_unix)[31034]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
325,Jun 25 04:41:49,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 25 04:41:49 combo sshd(pam_unix)[31036]: check pass; user unknown
326,Jun 25 04:41:49,combo,sshd(pam_unix),Auth Failure,HIGH,massive.merukuru.org,,Jun 25 04:41:49 combo sshd(pam_unix)[31036]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
327,Jun 25 04:41:51,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 25 04:41:51 combo sshd(pam_unix)[31025]: check pass; user unknown
328,Jun 25 04:41:51,combo,sshd(pam_unix),Auth Failure,HIGH,massive.merukuru.org,,Jun 25 04:41:51 combo sshd(pam_unix)[31025]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
329,Jun 25 04:41:51,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 25 04:41:51 combo sshd(pam_unix)[31028]: check pass; user unknown
330,Jun 25 04:41:51,combo,sshd(pam_unix),Auth Failure,HIGH,massive.merukuru.org,,Jun 25 04:41:51 combo sshd(pam_unix)[31028]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
331,Jun 25 04:41:51,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 25 04:41:51 combo sshd(pam_unix)[31020]: check pass; user unknown
332,Jun 25 04:41:51,combo,sshd(pam_unix),Auth Failure,HIGH,massive.merukuru.org,,Jun 25 04:41:51 combo sshd(pam_unix)[31020]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
333,Jun 25 04:41:51,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 25 04:41:51 combo sshd(pam_unix)[31027]: check pass; user unknown
334,Jun 25 04:41:51,combo,sshd(pam_unix),Auth Failure,HIGH,massive.merukuru.org,,Jun 25 04:41:51 combo sshd(pam_unix)[31027]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
335,Jun 25 04:41:51,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 25 04:41:51 combo sshd(pam_unix)[31021]: check pass; user unknown
336,Jun 25 04:41:51,combo,sshd(pam_unix),Auth Failure,HIGH,massive.merukuru.org,,Jun 25 04:41:51 combo sshd(pam_unix)[31021]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
337,Jun 25 04:41:51,combo,sshd(pam_unix),Unknown User,MEDIUM,,,Jun 25 04:41:51 combo sshd(pam_unix)[31024]: check pass; user unknown
338,Jun 25 04:41:51,combo,sshd(pam_unix),Auth Failure,HIGH,massive.merukuru.org,,Jun 25 04:41:51 combo sshd(pam_unix)[31024]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org
370,Jun 26 04:04:17,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 26 04:04:17 combo su(pam_unix)[945]: session opened for user cyrus by (uid=0)
371,Jun 26 04:04:17,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 26 04:04:17 combo su(pam_unix)[945]: session closed for user cyrus
376,Jun 26 04:10:02,combo,su(pam_unix),Session Opened,INFO,,news,Jun 26 04:10:02 combo su(pam_unix)[1546]: session opened for user news by (uid=0)
377,Jun 26 04:10:04,combo,su(pam_unix),Session Closed,INFO,,news,Jun 26 04:10:04 combo su(pam_unix)[1546]: session closed for user news
378,Jun 27 04:02:47,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 27 04:02:47 combo su(pam_unix)[7031]: session opened for user cyrus by (uid=0)
379,Jun 27 04:02:48,combo,su(pam_unix),Session Closed,INFO,,cyrus,Jun 27 04:02:48 combo su(pam_unix)[7031]: session closed for user cyrus
381,Jun 27 04:08:56,combo,su(pam_unix),Session Opened,INFO,,news,Jun 27 04:08:56 combo su(pam_unix)[8269]: session opened for user news by (uid=0)
382,Jun 27 04:08:57,combo,su(pam_unix),Session Closed,INFO,,news,Jun 27 04:08:57 combo su(pam_unix)[8269]: session closed for user news
383,Jun 27 08:05:37,combo,sshd(pam_unix),Auth Failure,HIGH,troi.bluesky-technologies.com,root,Jun 27 08:05:37 combo sshd(pam_unix)[8660]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com  user=root
384,Jun 27 08:05:39,combo,sshd(pam_unix),Auth Failure,HIGH,troi.bluesky-technologies.com,root,Jun 27 08:05:39 combo sshd(pam_unix)[8664]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com  user=root
385,Jun 27 08:05:39,combo,sshd(pam_unix),Auth Failure,HIGH,troi.bluesky-technologies.com,root,Jun 27 08:05:39 combo sshd(pam_unix)[8663]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com  user=root
386,Jun 27 08:05:39,combo,sshd(pam_unix),Auth Failure,HIGH,troi.bluesky-technologies.com,root,Jun 27 08:05:39 combo sshd(pam_unix)[8662]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com  user=root
387,Jun 27 08:05:39,combo,sshd(pam_unix),Auth Failure,HIGH,troi.bluesky-technologies.com,root,Jun 27 08:05:39 combo sshd(pam_unix)[8661]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com  user=root
388,Jun 28 04:03:15,combo,su(pam_unix),Session Opened,INFO,,cyrus,Jun 28 04:03:15 combo su(pam_unix)[10735]: session opened for user cyrus by (uid=0)
